time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,units,City
2014-02-20,27.7,,34.3,,,,,,,,,Solapur
2014-02-21,25.8,,31.1,,,,,,,,,Aurangabad
2014-02-21,25.2,,28.6,,,,,,,,,Mumbai
2014-02-21,23.6,,31.8,,,,,,,,,Nagpur
2014-02-21,23.6,,29.0,,,,,,,,,Pune
2014-02-21,28.0,,33.6,,,,,,,,,Solapur
2014-02-22,24.0,,,,,,,,,,,Aurangabad
2014-02-22,24.6,,28.8,,,,,,,,,Mumbai
2014-02-22,24.3,,30.1,1.0,,,,,,,,Nagpur
2014-02-22,22.8,,31.0,,,,,,,,,Pune
2014-02-22,27.8,,34.4,,,,,,,,,Solapur
2014-02-23,25.0,,31.3,,,,,,,,,Aurangabad
2014-02-23,25.7,,,,,,,,,,,Mumbai
2014-02-23,21.4,,31.2,0.0,,,,,,,,Nagpur
2014-02-23,23.3,,31.6,,,,,,,,,Pune
2014-02-23,28.3,,34.7,,,,,,,,,Solapur
2014-02-24,25.6,,31.5,,,,,,,,,Aurangabad
2014-02-24,26.8,,33.6,,,,,,,,,Mumbai
2014-02-24,22.8,,,2.0,,,,,,,,Nagpur
2014-02-24,24.1,,32.7,,,,,,,,,Pune
2014-02-24,27.3,,34.4,,,,,,,,,Solapur
2014-02-25,25.6,,32.6,,,,,,,,,Aurangabad
2014-02-25,27.1,,,,,,,,,,,Mumbai
2014-02-25,25.1,,32.0,0.0,,,,,,,,Nagpur
2014-02-25,24.9,,33.4,0.0,,,,,,,,Pune
2014-02-25,27.0,,34.8,,,,,,,,,Solapur
2014-02-26,23.5,,32.7,,,,,,,,,Aurangabad
2014-02-26,26.7,,30.3,,,,,,,,,Mumbai
2014-02-26,22.9,,,,,,,,,,,Nagpur
2014-02-26,24.8,,32.3,,,,,,,,,Pune
2014-02-26,24.2,,34.9,,,,,,,,,Solapur
2014-02-27,24.7,,31.7,,,,,,,,,Aurangabad
2014-02-27,26.1,,30.0,,,,,,,,,Mumbai
2014-02-27,22.8,,,13.0,,,,,,,,Nagpur
2014-02-27,24.3,,31.7,,,,,,,,,Pune
2014-02-27,24.7,,32.7,,,,,,,,,Solapur
2014-02-28,22.9,,,,,,,,,,,Aurangabad
2014-02-28,25.1,,28.7,,,,,,,,,Mumbai
2014-02-28,20.7,,,5.1,,,,,,,,Nagpur
2014-02-28,21.1,,29.1,,,,,,,,,Pune
2014-02-28,25.5,,32.3,,,,,,,,,Solapur
2014-03-01,22.1,,28.6,,,,,,,,,Aurangabad
2014-03-01,24.3,,28.5,,,,,,,,,Mumbai
2014-03-01,21.8,,27.2,14.0,,,,,,,,Nagpur
2014-03-01,19.1,,28.9,,,,,,,,,Pune
2014-03-01,23.4,,30.9,,,,,,,,,Solapur
2014-03-02,23.5,,29.5,,,,,,,,,Aurangabad
2014-03-02,25.3,,31.8,,,,,,,,,Mumbai
2014-03-02,22.7,,,0.0,,,,,,,,Nagpur
2014-03-02,19.7,,29.4,,,,,,,,,Pune
2014-03-02,24.9,,32.9,,,,,,,,,Solapur
2014-03-03,21.4,,29.1,,,,,,,,,Aurangabad
2014-03-03,26.8,,33.5,,,,,,,,,Mumbai
2014-03-03,22.1,,,,,,,,,,,Nagpur
2014-03-03,22.1,,30.4,,,,,,,,,Pune
2014-03-03,22.6,,31.2,,,,,,,,,Solapur
2014-03-04,20.9,,24.1,,,,,,,,,Aurangabad
2014-03-04,26.1,,31.5,,,,,,,,,Mumbai
2014-03-04,18.1,,,5.1,,,,,,,,Nagpur
2014-03-04,22.7,,29.8,,,,,,,,,Pune
2014-03-04,23.3,,29.7,,,,,,,,,Solapur
2014-03-05,22.0,,28.2,,,,,,,,,Aurangabad
2014-03-05,26.6,,32.5,,,,,,,,,Mumbai
2014-03-05,22.6,,,8.9,,,,,,,,Nagpur
2014-03-05,22.8,,30.0,0.0,,,,,,,,Pune
2014-03-05,24.0,,30.0,,,,,,,,,Solapur
2014-03-06,21.4,16.4,27.7,3.0,,,,,,,,Aurangabad
2014-03-06,26.2,20.6,29.5,,,,,,,,,Mumbai
2014-03-06,20.6,,,0.8,,,,,,,,Nagpur
2014-03-06,22.9,14.1,29.7,0.0,,,,,,,,Pune
2014-03-06,24.9,18.8,31.5,0.3,,,,,,,,Solapur
2014-03-07,23.4,,28.1,0.0,,,,,,,,Aurangabad
2014-03-07,26.2,,29.8,,,,,,,,,Mumbai
2014-03-07,22.9,,,0.0,,,,,,,,Nagpur
2014-03-07,24.2,,32.8,,,,,,,,,Pune
2014-03-07,25.4,,32.0,0.0,,,,,,,,Solapur
2014-03-08,21.9,,29.1,,,,,,,,,Aurangabad
2014-03-08,26.4,,30.6,,,,,,,,,Mumbai
2014-03-08,22.3,,,,,,,,,,,Nagpur
2014-03-08,25.2,,33.3,,,,,,,,,Pune
2014-03-08,24.8,,32.1,,,,,,,,,Solapur
2014-03-09,20.4,,28.1,,,,,,,,,Aurangabad
2014-03-09,26.9,,32.8,,,,,,,,,Mumbai
2014-03-09,23.9,,,0.0,,,,,,,,Nagpur
2014-03-09,22.5,,31.3,,,,,,,,,Pune
2014-03-09,22.9,,30.2,21.1,,,,,,,,Solapur
2014-03-10,24.0,,29.1,,,,,,,,,Aurangabad
2014-03-10,26.3,,30.3,,,,,,,,,Mumbai
2014-03-10,22.7,,,0.0,,,,,,,,Nagpur
2014-03-10,22.4,,33.0,,,,,,,,,Pune
2014-03-10,23.7,,31.8,10.9,,,,,,,,Solapur
2014-03-11,24.9,,31.7,,,,,,,,,Aurangabad
2014-03-11,26.4,,30.5,,,,,,,,,Mumbai
2014-03-11,25.5,,,0.0,,,,,,,,Nagpur
2014-03-11,24.4,,33.8,,,,,,,,,Pune
2014-03-11,27.4,,33.9,7.9,,,,,,,,Solapur
2014-03-12,26.2,,32.5,,,,,,,,,Aurangabad
2014-03-12,28.8,,34.3,,,,,,,,,Mumbai
2014-03-12,26.6,,,0.0,,,,,,,,Nagpur
2014-03-12,24.7,,34.1,,,,,,,,,Pune
2014-03-12,27.1,,32.4,0.0,,,,,,,,Solapur
2014-03-13,24.2,,30.6,,,,,,,,,Aurangabad
2014-03-13,29.6,,35.5,,,,,,,,,Mumbai
2014-03-13,26.3,,,7.1,,,,,,,,Nagpur
2014-03-13,24.0,,33.8,,,,,,,,,Pune
2014-03-13,28.1,,35.2,,,,,,,,,Solapur
2014-03-14,25.7,,32.7,,,,,,,,,Aurangabad
2014-03-14,30.1,,,,,,,,,,,Mumbai
2014-03-14,27.5,,,0.0,,,,,,,,Nagpur
2014-03-14,25.9,,35.4,,,,,,,,,Pune
2014-03-14,28.5,,36.1,,,,,,,,,Solapur
2014-03-15,27.3,,34.1,,,,,,,,,Aurangabad
2014-03-15,30.1,,,,,,,,,,,Mumbai
2014-03-15,27.2,,,,,,,,,,,Nagpur
2014-03-15,25.4,,35.6,,,,,,,,,Pune
2014-03-15,28.5,,36.7,,,,,,,,,Solapur
2014-03-16,27.8,,34.2,,,,,,,,,Aurangabad
2014-03-16,30.7,,,,,,,,,,,Mumbai
2014-03-16,28.3,,,,,,,,,,,Nagpur
2014-03-16,27.4,,36.0,,,,,,,,,Pune
2014-03-16,29.4,,36.6,,,,,,,,,Solapur
2014-03-17,29.0,,,,,,,,,,,Aurangabad
2014-03-17,31.2,,38.0,,,,,,,,,Mumbai
2014-03-17,29.6,,,,,,,,,,,Nagpur
2014-03-17,28.3,,35.2,,,,,,,,,Pune
2014-03-17,31.2,,37.1,,,,,,,,,Solapur
2014-03-18,28.3,,34.1,,,,,,,,,Aurangabad
2014-03-18,29.3,,34.8,,,,,,,,,Mumbai
2014-03-18,29.8,,,,,,,,,,,Nagpur
2014-03-18,27.9,,36.0,,,,,,,,,Pune
2014-03-18,30.9,,37.2,,,,,,,,,Solapur
2014-03-19,28.4,,34.5,,,,,,,,,Aurangabad
2014-03-19,30.5,,37.0,,,,,,,,,Mumbai
2014-03-19,29.8,,,,,,,,,,,Nagpur
2014-03-19,28.2,,36.8,,,,,,,,,Pune
2014-03-19,29.9,,37.8,,,,,,,,,Solapur
2014-03-20,29.0,,35.9,,,,,,,,,Aurangabad
2014-03-20,28.6,,34.0,,,,,,,,,Mumbai
2014-03-20,28.6,,,,,,,,,,,Nagpur
2014-03-20,27.8,,37.3,,,,,,,,,Pune
2014-03-20,30.9,,38.9,,,,,,,,,Solapur
2014-03-21,29.5,,35.6,,,,,,,,,Aurangabad
2014-03-21,29.5,,35.5,,,,,,,,,Mumbai
2014-03-21,27.4,,,,,,,,,,,Nagpur
2014-03-21,26.6,,36.0,,,,,,,,,Pune
2014-03-21,31.2,,39.1,,,,,,,,,Solapur
2014-03-22,28.5,,35.6,,,,,,,,,Aurangabad
2014-03-22,26.6,,30.6,,,,,,,,,Mumbai
2014-03-22,28.6,,,,,,,,,,,Nagpur
2014-03-22,26.0,,34.9,,,,,,,,,Pune
2014-03-22,29.3,,38.2,,,,,,,,,Solapur
2014-03-23,29.2,,36.0,,,,,,,,,Aurangabad
2014-03-23,27.3,,32.7,,,,,,,,,Mumbai
2014-03-23,29.1,,,,,,,,,,,Nagpur
2014-03-23,27.0,,37.3,,,,,,,,,Pune
2014-03-23,30.9,,39.5,,,,,,,,,Solapur
2014-03-24,30.2,,36.6,,,,,,,,,Aurangabad
2014-03-24,27.6,,31.0,,,,,,,,,Mumbai
2014-03-24,30.2,,,,,,,,,,,Nagpur
2014-03-24,27.3,,36.9,,,,,,,,,Pune
2014-03-24,32.2,,39.0,,,,,,,,,Solapur
2014-03-25,,,,,,,,,,,,Aurangabad
2014-03-25,28.4,,33.4,,,,,,,,,Mumbai
2014-03-25,28.8,,,1.0,,,,,,,,Nagpur
2014-03-25,27.6,,35.9,,,,,,,,,Pune
2014-03-25,31.0,,38.4,,,,,,,,,Solapur
2014-03-26,29.9,,36.7,,,,,,,,,Aurangabad
2014-03-26,28.6,,33.0,,,,,,,,,Mumbai
2014-03-26,31.2,,,0.0,,,,,,,,Nagpur
2014-03-26,28.3,,37.3,,,,,,,,,Pune
2014-03-26,32.0,,39.5,,,,,,,,,Solapur
2014-03-27,30.4,,37.1,,,,,,,,,Aurangabad
2014-03-27,28.2,,32.7,,,,,,,,,Mumbai
2014-03-27,32.0,,,,,,,,,,,Nagpur
2014-03-27,28.5,,38.3,,,,,,,,,Pune
2014-03-27,30.6,,39.7,,,,,,,,,Solapur
2014-03-28,30.4,,37.9,,,,,,,,,Aurangabad
2014-03-28,28.3,,32.0,,,,,,,,,Mumbai
2014-03-28,32.2,,,,,,,,,,,Nagpur
2014-03-28,28.8,,37.9,,,,,,,,,Pune
2014-03-28,31.5,,40.0,,,,,,,,,Solapur
2014-03-29,31.4,,37.5,,,,,,,,,Aurangabad
2014-03-29,29.9,,35.0,,,,,,,,,Mumbai
2014-03-29,32.6,,,,,,,,,,,Nagpur
2014-03-29,28.9,,37.9,,,,,,,,,Pune
2014-03-29,32.3,,40.2,,,,,,,,,Solapur
2014-03-30,31.0,,38.3,,,,,,,,,Aurangabad
2014-03-30,30.2,,36.0,,,,,,,,,Mumbai
2014-03-30,31.4,,,,,,,,,,,Nagpur
2014-03-30,29.1,,38.4,,,,,,,,,Pune
2014-03-30,32.7,,41.0,,,,,,,,,Solapur
2014-03-31,31.8,,38.1,,,,,,,,,Aurangabad
2014-03-31,28.3,,32.0,,,,,,,,,Mumbai
2014-03-31,32.7,,,,,,,,,,,Nagpur
2014-03-31,29.0,,38.8,,,,,,,,,Pune
2014-03-31,32.9,,41.2,,,,,,,,,Solapur
2014-04-01,29.5,,36.7,,,,,,,,,Aurangabad
2014-04-01,28.1,,32.8,,,,,,,,,Mumbai
2014-04-01,30.8,,,,,,,,,,,Nagpur
2014-04-01,27.7,,36.6,,,,,,,,,Pune
2014-04-01,32.2,,40.7,,,,,,,,,Solapur
2014-04-02,29.3,,36.5,,,,,,,,,Aurangabad
2014-04-02,28.0,,33.0,,,,,,,,,Mumbai
2014-04-02,30.6,,,,,,,,,,,Nagpur
2014-04-02,27.1,,35.8,,,,,,,,,Pune
2014-04-02,31.7,,39.7,,,,,,,,,Solapur
2014-04-03,29.0,,36.9,,,,,,,,,Aurangabad
2014-04-03,28.8,,33.6,,,,,,,,,Mumbai
2014-04-03,31.3,,,,,,,,,,,Nagpur
2014-04-03,28.7,,37.1,,,,,,,,,Pune
2014-04-03,31.3,,40.1,,,,,,,,,Solapur
2014-04-04,30.8,,38.7,,,,,,,,,Aurangabad
2014-04-04,30.9,,38.0,,,,,,,,,Mumbai
2014-04-04,31.7,,,,,,,,,,,Nagpur
2014-04-04,30.2,,38.6,,,,,,,,,Pune
2014-04-04,32.7,,40.2,,,,,,,,,Solapur
